Month,Date,Day,Holiday,Holiday range,RangeRing_A,RangeLine_A,RangeRing_B,RangeLine_B,RangeRing_C,RangeLine_C,RangeRing_D,RangeLine_D,RangeRing_E,RangeLine_E
JANUARY,1,T,New Years Day,,,,,,,,,,,
JANUARY,2,F,,,,,,,,,,,,
JANUARY,3,S,,,,,,,,,,,,
JANUARY,4,S,,,,,,,,,,,,
JANUARY,5,M,,,Harbin Ice Snow Festival,X,,,,,,,,
JANUARY,6,T,Epiphany,,,X,CES Las Vegas,X,,,,,,
JANUARY,7,W,Eastern Orthodox Christmas / Festa del Tricolore,,,X,,X,,,,,,
JANUARY,8,T,,,,X,,X,,,,,,
JANUARY,9,F,,,,X,CES Las Vegas,X,,,,,,
JANUARY,10,S,,,,X,,,,,,,,
JANUARY,11,S,,,,X,Golden Globes,,,,,,,
JANUARY,12,M,,,,X,,,,,,,,
JANUARY,13,T,Tjugondag Knut,,,X,,,,,,,,
JANUARY,14,W,,,,X,,,,,,,,
JANUARY,15,T,,,,X,,,,,,,,
JANUARY,16,F,,,,X,,,,,,,,
JANUARY,17,S,,,,X,,,,,,,,
JANUARY,18,S,,,,X,,,,,,,,
JANUARY,19,M,Martin Luther King Day,,,X,,,,,,,,
JANUARY,20,T,,,,X,,,,,,,,
JANUARY,21,W,,,,X,,,,,,,,
JANUARY,22,T,,,,X,Sundance Film Festival,X,,,,,,
JANUARY,23,F,,,,X,,X,,,,,,
JANUARY,24,S,,,,X,,X,,,,,,
JANUARY,25,S,,,,X,,X,,,,,,
JANUARY,26,M,,,,X,,X,,,,,,
JANUARY,27,T,International Holocaust Remembrance Day,,,X,,X,,,,,,
JANUARY,28,W,,,,X,,X,,,,,,
JANUARY,29,T,,,,X,,X,,,,,,
JANUARY,30,F,,,,X,,X,,,,,,
JANUARY,31,S,,,,X,,X,Venice Carnival,X,,,,
FEBRUARY,1,S,,,,X,Sundance Film Festival,X,,X,,,,
FEBRUARY,2,M,Groundhog Day,,,X,,,,X,,,,
FEBRUARY,3,T,,,Harbin Ice Snow Festival,X,,,,X,,,,
FEBRUARY,4,W,Thank a Mailman Day,,,,,,,X,,,,
FEBRUARY,5,T,,,,,,,,X,,,,
FEBRUARY,6,F,,,Milano Cortina Winter Olympics,X,,,,X,,,,
FEBRUARY,7,S,,,,X,,,,X,,,,
FEBRUARY,8,S,Super Bowl LX,,,X,,,,X,,,,
FEBRUARY,9,M,,,,X,,,,X,,,,
FEBRUARY,10,T,,,,X,,,,X,,,,
FEBRUARY,11,W,,,,X,,,,X,,,,
FEBRUARY,12,T,,,,X,Berlin Film Festival,X,,X,,,,
FEBRUARY,13,F,,,,X,,X,,X,Rio Carnival,X,,
FEBRUARY,14,S,Valentine's Day,,,X,,X,,X,,X,,
FEBRUARY,15,S,,,,X,,X,,X,,X,,
FEBRUARY,16,M,Presidents' Day,,,X,,X,,X,,X,,
FEBRUARY,17,T,Mardi Gras / Lunar New Year,,,X,,X,Venice Carnival,X,,X,,
FEBRUARY,18,W,Ash Wednesday,,,X,,X,,,Rio Carnival,X,Lent,X
FEBRUARY,19,T,,,,X,,X,,,,,,X
FEBRUARY,20,F,,,,X,,X,,,,,,X
FEBRUARY,21,S,,,,X,,X,,,,,,X
FEBRUARY,22,S,SAG Awards / BAFTAs,,Milano Cortina Winter Olympics,X,Berlin Film Festival,X,,,,,,X
FEBRUARY,23,M,,,,,,,,,,,,X
FEBRUARY,24,T,,,,,,,,,,,,X
FEBRUARY,25,W,,,,,,,,,,,,X
FEBRUARY,26,T,,,,,Frieze LA,X,,,,,,X
FEBRUARY,27,F,,,,,,X,,,,,,X
FEBRUARY,28,S,,,,,,X,,,,,,X
MARCH,1,S,Tokyo Marathon,,,,Frieze LA,X,,,,,,X
MARCH,2,M,,,,,,,,,,,,X
MARCH,3,T,,,,,,,,,,,,X
MARCH,4,W,,,,,,,,,,,,X
MARCH,5,T,,,World Baseball Classic,X,,,,,,,,X
MARCH,6,F,,,,X,Winter Paralympics,X,,,,,,X
MARCH,7,S,,,,X,,X,,,,,,X
MARCH,8,S,Daylight Saving Begins,,,X,,X,,,,,,X
MARCH,9,M,,,,X,,X,,,,,,X
MARCH,10,T,,,,X,,X,,,,,,X
MARCH,11,W,,,,X,,X,,,,,,X
MARCH,12,T,,,,X,,X,SXSW,X,,,,X
MARCH,13,F,,,,X,,X,,X,,,,X
MARCH,14,S,,,,X,,X,,X,,,,X
MARCH,15,S,Oscars,,,X,Winter Paralympics,X,,X,,,,X
MARCH,16,M,,,,X,,,,X,,,,X
MARCH,17,T,St Patrick's Day,,World Baseball Classic,X,,,,X,,,,X
MARCH,18,W,,,,,,,SXSW,X,,,,X
MARCH,19,T,,,,,,,,,,,,X
MARCH,20,F,Vernal Equinox,,Hanami (Cherry Blossoms),X,,,,,,,,X
MARCH,21,S,,,,X,,,,,,,,X
MARCH,22,S,,,,X,,,,,,,,X
MARCH,23,M,,,,X,,,,,,,,X
MARCH,24,T,,,,X,,,,,,,,X
MARCH,25,W,Vaffeldagen,,,X,,,,,,,,X
MARCH,26,T,MLB Opening Day,,,X,,,,,,,,X
MARCH,27,F,,,,X,,,,,,,,X
MARCH,28,S,,,,X,,,,,,,,X
MARCH,29,S,,,,X,,,,,,,,X
MARCH,30,M,,,,X,,,,,,,,X
MARCH,31,T,,,,X,,,,,,,,X
APRIL,1,W,April Fools Day,,,X,Passover,X,,,,,,X
APRIL,2,T,,,,X,,X,,,,,Lent,X
APRIL,3,F,Good Friday,,,X,,X,,,,,,
APRIL,4,S,,,,X,,X,,,,,,
APRIL,5,S,Easter Sunday,,Hanami (Cherry Blossoms),X,,X,,,,,,
APRIL,6,M,,,,,,X,,,,,,
APRIL,7,T,,,,,,X,,,,,,
APRIL,8,W,,,,,,X,,,,,,
APRIL,9,T,,,,,Passover,X,The Masters,X,,,,
APRIL,10,F,,,Coachella,X,,,,X,,,,
APRIL,11,S,,,,X,,,,X,,,,
APRIL,12,S,,,,X,,,The Masters,X,,,,
APRIL,13,M,,,,X,Songkran,X,,,,,,
APRIL,14,T,,,,X,,X,,,,,,
APRIL,15,W,Tax Day,,,X,Songkran,X,,,,,,
APRIL,16,T,,,,X,,,,,,,,
APRIL,17,F,,,,X,,,,,,,,
APRIL,18,S,,,,X,,,,,,,,
APRIL,19,S,,,Coachella,X,,,,,,,,
APRIL,20,M,,,,,,,,,,,,
APRIL,21,T,,,,,,,,,,,,
APRIL,22,W,,,,,,,,,,,,
APRIL,23,T,,,,,,,,,,,,
APRIL,24,F,,,,,,,,,,,,
APRIL,25,S,Festa della Liberazione,,,,,,,,,,,
APRIL,26,S,,,,,,,,,,,,
APRIL,27,M,,,,,,,,,,,,
APRIL,28,T,,,,,,,,,,,,
APRIL,29,W,,,,,Golden Week,X,,,,,,
APRIL,30,T,Valborgsmassoafton,,,,,X,,,,,,
MAY,1,F,May Day,,,,,X,,,,,,
MAY,2,S,Kentucky Derby / Peony Season Begins,,,,,X,,,,,,
MAY,3,S,,,,,,X,,,,,,
MAY,4,M,The Met Gala,,,,,X,,,,,,
MAY,5,T,Cinco de Mayo,,,,Golden Week,X,,,,,,
MAY,6,W,,,,,,,,,,,,
MAY,7,T,,,,,,,,,,,,
MAY,8,F,,,,,,,,,,,,
MAY,9,S,La Biennale di Venezia Opening,,,,,,,,,,,
MAY,10,S,Mothers Day,,,,,,,,,,,
MAY,11,M,,,,,,,,,,,,
MAY,12,T,,,,,Cannes Film Festival,X,,,,,,
MAY,13,W,,,,,,X,,,,,,
MAY,14,T,Ascension Day,,,,,X,,,,,,
MAY,15,F,,,,,,X,,,,,,
MAY,16,S,,,,,,X,,,,,,
MAY,17,S,,,,,,X,,,,,,
MAY,18,M,,,,,,X,,,,,,
MAY,19,T,,,,,,X,,,,,,
MAY,20,W,,,,,,X,,,,,,
MAY,21,T,,,Bergkirchweih,X,,X,,,,,,
MAY,22,F,,,,X,,X,,,,,,
MAY,23,S,,,,X,Cannes Film Festival,X,,,,,,
MAY,24,S,Whitsunday,,,X,French Open,X,,,,,,
MAY,25,M,Memorial Day,,,X,,X,,,,,,
MAY,26,T,,,,X,,X,,,,,,
MAY,27,W,,,,X,,X,,,,,,
MAY,28,T,,,,X,,X,,,,,,
MAY,29,F,,,,X,,X,,,,,,
MAY,30,S,,,,X,,X,,,,,,
MAY,31,S,,,,X,,X,,,,,,
JUNE,1,M,,,Bergkirchweih,X,,X,,,,,,
JUNE,2,T,Festa della Repubblica,,,,,X,,,,,,
JUNE,3,W,,,,,,X,,,,,,
JUNE,4,T,,,,,,X,,,,,,
JUNE,5,F,,,The Governors Ball,X,,X,,,,,,
JUNE,6,S,,,,X,,X,,,,,,
JUNE,7,S,,,The Governors Ball,X,French Open,X,,,,,,
JUNE,8,M,,,,,,,,,,,,
JUNE,9,T,,,,,,,,,,,,
JUNE,10,W,,,,,,,,,,,,
JUNE,11,T,,,FIFA World Cup,X,,,,,,,,
JUNE,12,F,,,,X,,,,,,,,
JUNE,13,S,,,,X,,,,,,,,
JUNE,14,S,,,,X,,,,,,,,
JUNE,15,M,,,,X,,,,,,,,
JUNE,16,T,,,,X,Royal Ascot,X,,,,,,
JUNE,17,W,,,,X,,X,,,,,,
JUNE,18,T,,,,X,,X,Art Basel,X,,,,
